sku,product_name,category,location,expected_qty,counted_qty,unit_cost,count_date
SKU-5034,Fillet Steak (kg),Beef,Rathmines,17,16,48.0,2026-05-01
SKU-5035,Fillet Steak (kg),Beef,Rathmines,21,20,48.0,2026-06-01
SKU-5036,Fillet Steak (kg),Beef,Rathmines,42,41,48.0,2026-07-01
SKU-5037,Fillet Steak (kg),Beef,Cornelscourt,55,49,48.0,2026-05-01
SKU-5038,Fillet Steak (kg),Beef,Cornelscourt,25,25,48.0,2026-06-01
SKU-5039,Fillet Steak (kg),Beef,Cornelscourt,35,31,48.0,2026-07-01
SKU-5040,Fillet Steak (kg),Beef,Tralee,36,36,48.0,2026-05-01
SKU-5041,Fillet Steak (kg),Beef,Tralee,23,22,48.0,2026-06-01
SKU-5042,Fillet Steak (kg),Beef,Tralee,27,27,48.0,2026-07-01
SKU-5043,Fillet Steak (kg),Beef,Clonmel,12,17,48.0,2026-05-01
SKU-5044,Fillet Steak (kg),Beef,Clonmel,39,39,48.0,2026-06-01
SKU-5045,Fillet Steak (kg),Beef,Clonmel,34,35,48.0,2026-07-01
SKU-5046,Round Steak (kg),Beef,Blanchardstown,8,7,13.5,2026-05-01
SKU-5047,Round Steak (kg),Beef,Blanchardstown,26,26,13.5,2026-06-01
SKU-5048,Round Steak (kg),Beef,Blanchardstown,45,45,13.5,2026-07-01
SKU-5049,Round Steak (kg),Beef,Tralee,23,22,13.5,2026-05-01
SKU-5050,Round Steak (kg),Beef,Tralee,14,14,13.5,2026-06-01
SKU-5051,Round Steak (kg),Beef,Tralee,31,28,13.5,2026-07-01
SKU-5052,Round Steak (kg),Beef,Swords,38,37,13.5,2026-05-01
SKU-5053,Round Steak (kg),Beef,Swords,32,32,13.5,2026-06-01
SKU-5054,Round Steak (kg),Beef,Swords,43,39,13.5,2026-07-01
SKU-5055,Round Steak (kg),Beef,Clonmel,44,44,13.5,2026-05-01
SKU-5056,Round Steak (kg),Beef,Clonmel,11,9,13.5,2026-06-01
SKU-5057,Round Steak (kg),Beef,Clonmel,25,23,13.5,2026-07-01
SKU-5058,Beef Mince (kg),Beef,Limerick,11,11,9.0,2026-05-01
SKU-5059,Beef Mince (kg),Beef,Limerick,34,35,9.0,2026-06-01
SKU-5060,Beef Mince (kg),Beef,Limerick,42,42,9.0,2026-07-01
SKU-5061,Beef Mince (kg),Beef,Tralee,39,35,9.0,2026-05-01
SKU-5062,Beef Mince (kg),Beef,Tralee,38,37,9.0,2026-06-01
SKU-5063,Beef Mince (kg),Beef,Tralee,23,23,9.0,2026-07-01
SKU-5064,Beef Mince (kg),Beef,Swords,37,30,9.0,2026-05-01
SKU-5065,Beef Mince (kg),Beef,Swords,28,28,9.0,2026-06-01
SKU-5066,Beef Mince (kg),Beef,Swords,11,11,9.0,2026-07-01
SKU-5067,Beef Mince (kg),Beef,Cornelscourt,54,55,9.0,2026-05-01
SKU-5068,Beef Mince (kg),Beef,Cornelscourt,16,14,9.0,2026-06-01
SKU-5069,Beef Mince (kg),Beef,Cornelscourt,55,55,9.0,2026-07-01
SKU-5070,Rib Roast (kg),Beef,Blanchardstown,45,45,22.0,2026-05-01
SKU-5071,Rib Roast (kg),Beef,Blanchardstown,16,15,22.0,2026-06-01
SKU-5072,Rib Roast (kg),Beef,Blanchardstown,29,30,22.0,2026-07-01
SKU-5073,Rib Roast (kg),Beef,Tralee,28,24,22.0,2026-05-01
SKU-5074,Rib Roast (kg),Beef,Tralee,34,34,22.0,2026-06-01
SKU-5075,Rib Roast (kg),Beef,Tralee,49,48,22.0,2026-07-01
SKU-5076,Rib Roast (kg),Beef,Clonmel,18,18,22.0,2026-05-01
SKU-5077,Rib Roast (kg),Beef,Clonmel,53,52,22.0,2026-06-01
SKU-5078,Rib Roast (kg),Beef,Clonmel,35,35,22.0,2026-07-01
SKU-5079,Rib Roast (kg),Beef,Swords,29,28,22.0,2026-05-01
SKU-5080,Rib Roast (kg),Beef,Swords,38,39,22.0,2026-06-01
SKU-5081,Rib Roast (kg),Beef,Swords,38,37,22.0,2026-07-01
SKU-5082,Rib Roast (kg),Beef,Naas,46,45,22.0,2026-05-01
SKU-5083,Rib Roast (kg),Beef,Naas,43,42,22.0,2026-06-01
SKU-5084,Rib Roast (kg),Beef,Naas,15,15,22.0,2026-07-01
SKU-5085,Rib Roast (kg),Beef,Limerick,43,43,22.0,2026-05-01
SKU-5086,Rib Roast (kg),Beef,Limerick,24,23,22.0,2026-06-01
SKU-5087,Rib Roast (kg),Beef,Limerick,32,31,22.0,2026-07-01
SKU-5088,Salt-Aged Ribeye (kg),Salt-Aged Beef,Limerick,17,17,42.0,2026-05-01
SKU-5089,Salt-Aged Ribeye (kg),Salt-Aged Beef,Limerick,35,34,42.0,2026-06-01
SKU-5090,Salt-Aged Ribeye (kg),Salt-Aged Beef,Limerick,40,39,42.0,2026-07-01
SKU-5091,Salt-Aged Ribeye (kg),Salt-Aged Beef,Clonmel,32,31,42.0,2026-05-01
SKU-5092,Salt-Aged Ribeye (kg),Salt-Aged Beef,Clonmel,29,28,42.0,2026-06-01
SKU-5093,Salt-Aged Ribeye (kg),Salt-Aged Beef,Clonmel,50,49,42.0,2026-07-01
SKU-5094,Salt-Aged Ribeye (kg),Salt-Aged Beef,Cornelscourt,27,27,42.0,2026-05-01
SKU-5095,Salt-Aged Ribeye (kg),Salt-Aged Beef,Cornelscourt,55,55,42.0,2026-06-01
SKU-5096,Salt-Aged Ribeye (kg),Salt-Aged Beef,Cornelscourt,12,11,42.0,2026-07-01
SKU-5097,Salt-Aged Sirloin (kg),Salt-Aged Beef,Cornelscourt,9,13,39.0,2026-05-01
SKU-5098,Salt-Aged Sirloin (kg),Salt-Aged Beef,Cornelscourt,44,44,39.0,2026-06-01
SKU-5099,Salt-Aged Sirloin (kg),Salt-Aged Beef,Cornelscourt,31,30,39.0,2026-07-01
SKU-5100,Salt-Aged Sirloin (kg),Salt-Aged Beef,Clonmel,41,40,39.0,2026-05-01
SKU-5101,Salt-Aged Sirloin (kg),Salt-Aged Beef,Clonmel,33,31,39.0,2026-06-01
SKU-5102,Salt-Aged Sirloin (kg),Salt-Aged Beef,Clonmel,40,40,39.0,2026-07-01
SKU-5103,Salt-Aged Sirloin (kg),Salt-Aged Beef,Blanchardstown,30,30,39.0,2026-05-01
SKU-5104,Salt-Aged Sirloin (kg),Salt-Aged Beef,Blanchardstown,33,35,39.0,2026-06-01
SKU-5105,Salt-Aged Sirloin (kg),Salt-Aged Beef,Blanchardstown,28,29,39.0,2026-07-01
SKU-5106,Salt-Aged T-Bone (kg),Salt-Aged Beef,Tralee,24,24,38.0,2026-05-01
SKU-5107,Salt-Aged T-Bone (kg),Salt-Aged Beef,Tralee,21,21,38.0,2026-06-01
SKU-5108,Salt-Aged T-Bone (kg),Salt-Aged Beef,Tralee,25,24,38.0,2026-07-01
SKU-5109,Salt-Aged T-Bone (kg),Salt-Aged Beef,Naas,37,38,38.0,2026-05-01
SKU-5110,Salt-Aged T-Bone (kg),Salt-Aged Beef,Naas,52,52,38.0,2026-06-01
SKU-5111,Salt-Aged T-Bone (kg),Salt-Aged Beef,Naas,25,24,38.0,2026-07-01
SKU-5112,Salt-Aged T-Bone (kg),Salt-Aged Beef,Limerick,37,38,38.0,2026-05-01
SKU-5113,Salt-Aged T-Bone (kg),Salt-Aged Beef,Limerick,20,20,38.0,2026-06-01
SKU-5114,Salt-Aged T-Bone (kg),Salt-Aged Beef,Limerick,9,8,38.0,2026-07-01
SKU-5115,Salt-Aged T-Bone (kg),Salt-Aged Beef,Cornelscourt,34,35,38.0,2026-05-01
SKU-5116,Salt-Aged T-Bone (kg),Salt-Aged Beef,Cornelscourt,39,39,38.0,2026-06-01
SKU-5117,Salt-Aged T-Bone (kg),Salt-Aged Beef,Cornelscourt,8,8,38.0,2026-07-01
SKU-5118,Wagyu Striploin (kg),Wagyu,Blanchardstown,6,6,95.0,2026-05-01
SKU-5119,Wagyu Striploin (kg),Wagyu,Blanchardstown,10,11,95.0,2026-06-01
SKU-5120,Wagyu Striploin (kg),Wagyu,Blanchardstown,7,6,95.0,2026-07-01
SKU-5121,Wagyu Striploin (kg),Wagyu,Clonmel,9,8,95.0,2026-05-01
SKU-5122,Wagyu Striploin (kg),Wagyu,Clonmel,15,17,95.0,2026-06-01
SKU-5123,Wagyu Striploin (kg),Wagyu,Clonmel,18,18,95.0,2026-07-01
SKU-5124,Wagyu Striploin (kg),Wagyu,Swords,11,11,95.0,2026-05-01
SKU-5125,Wagyu Striploin (kg),Wagyu,Swords,12,11,95.0,2026-06-01
SKU-5126,Wagyu Striploin (kg),Wagyu,Swords,18,15,95.0,2026-07-01
SKU-5127,Wagyu Striploin (kg),Wagyu,Cornelscourt,6,6,95.0,2026-05-01
SKU-5128,Wagyu Striploin (kg),Wagyu,Cornelscourt,5,5,95.0,2026-06-01
SKU-5129,Wagyu Striploin (kg),Wagyu,Cornelscourt,5,4,95.0,2026-07-01
SKU-5130,Wagyu Burger 4pk,Wagyu,Blanchardstown,8,8,14.0,2026-05-01
SKU-5131,Wagyu Burger 4pk,Wagyu,Blanchardstown,16,16,14.0,2026-06-01
SKU-5132,Wagyu Burger 4pk,Wagyu,Blanchardstown,4,4,14.0,2026-07-01
SKU-5133,Wagyu Burger 4pk,Wagyu,Swords,6,7,14.0,2026-05-01
SKU-5134,Wagyu Burger 4pk,Wagyu,Swords,12,12,14.0,2026-06-01
SKU-5135,Wagyu Burger 4pk,Wagyu,Swords,5,3,14.0,2026-07-01
SKU-5136,Wagyu Burger 4pk,Wagyu,Cornelscourt,8,7,14.0,2026-05-01
SKU-5137,Wagyu Burger 4pk,Wagyu,Cornelscourt,17,17,14.0,2026-06-01
SKU-5138,Wagyu Burger 4pk,Wagyu,Cornelscourt,18,19,14.0,2026-07-01
SKU-5139,Lamb Chops (kg),Lamb,Limerick,44,44,19.0,2026-05-01
SKU-5140,Lamb Chops (kg),Lamb,Limerick,52,52,19.0,2026-06-01
SKU-5141,Lamb Chops (kg),Lamb,Limerick,47,47,19.0,2026-07-01
SKU-5142,Lamb Chops (kg),Lamb,Tralee,37,32,19.0,2026-05-01
SKU-5143,Lamb Chops (kg),Lamb,Tralee,15,14,19.0,2026-06-01
SKU-5144,Lamb Chops (kg),Lamb,Tralee,13,12,19.0,2026-07-01
SKU-5145,Lamb Chops (kg),Lamb,Naas,50,48,19.0,2026-05-01
SKU-5146,Lamb Chops (kg),Lamb,Naas,30,30,19.0,2026-06-01
SKU-5147,Lamb Chops (kg),Lamb,Naas,17,17,19.0,2026-07-01
SKU-5148,Lamb Chops (kg),Lamb,Cornelscourt,23,23,19.0,2026-05-01
SKU-5149,Lamb Chops (kg),Lamb,Cornelscourt,55,53,19.0,2026-06-01
SKU-5150,Lamb Chops (kg),Lamb,Cornelscourt,20,19,19.0,2026-07-01
SKU-5151,Leg of Lamb (kg),Lamb,Blanchardstown,28,29,17.0,2026-05-01
SKU-5152,Leg of Lamb (kg),Lamb,Blanchardstown,44,43,17.0,2026-06-01
SKU-5153,Leg of Lamb (kg),Lamb,Blanchardstown,42,42,17.0,2026-07-01
SKU-5154,Leg of Lamb (kg),Lamb,Swords,43,43,17.0,2026-05-01
SKU-5155,Leg of Lamb (kg),Lamb,Swords,41,40,17.0,2026-06-01
SKU-5156,Leg of Lamb (kg),Lamb,Swords,52,51,17.0,2026-07-01
SKU-5157,Leg of Lamb (kg),Lamb,Tralee,24,25,17.0,2026-05-01
SKU-5158,Leg of Lamb (kg),Lamb,Tralee,45,43,17.0,2026-06-01
SKU-5159,Leg of Lamb (kg),Lamb,Tralee,21,25,17.0,2026-07-01
SKU-5160,Leg of Lamb (kg),Lamb,Rathmines,12,11,17.0,2026-05-01
SKU-5161,Leg of Lamb (kg),Lamb,Rathmines,31,31,17.0,2026-06-01
SKU-5162,Leg of Lamb (kg),Lamb,Rathmines,54,46,17.0,2026-07-01
SKU-5163,Leg of Lamb (kg),Lamb,Limerick,13,13,17.0,2026-05-01
SKU-5164,Leg of Lamb (kg),Lamb,Limerick,34,35,17.0,2026-06-01
SKU-5165,Leg of Lamb (kg),Lamb,Limerick,35,35,17.0,2026-07-01
SKU-5166,Leg of Lamb (kg),Lamb,Clonmel,14,14,17.0,2026-05-01
SKU-5167,Leg of Lamb (kg),Lamb,Clonmel,22,21,17.0,2026-06-01
SKU-5168,Leg of Lamb (kg),Lamb,Clonmel,13,14,17.0,2026-07-01
SKU-5169,Rack of Lamb (kg),Lamb,Blanchardstown,30,30,26.0,2026-05-01
SKU-5170,Rack of Lamb (kg),Lamb,Blanchardstown,40,40,26.0,2026-06-01
SKU-5171,Rack of Lamb (kg),Lamb,Blanchardstown,9,9,26.0,2026-07-01
SKU-5172,Rack of Lamb (kg),Lamb,Limerick,29,29,26.0,2026-05-01
SKU-5173,Rack of Lamb (kg),Lamb,Limerick,49,47,26.0,2026-06-01
SKU-5174,Rack of Lamb (kg),Lamb,Limerick,26,25,26.0,2026-07-01
SKU-5175,Rack of Lamb (kg),Lamb,Cornelscourt,49,43,26.0,2026-05-01
SKU-5176,Rack of Lamb (kg),Lamb,Cornelscourt,18,17,26.0,2026-06-01
SKU-5177,Rack of Lamb (kg),Lamb,Cornelscourt,20,20,26.0,2026-07-01
SKU-5178,Rack of Lamb (kg),Lamb,Clonmel,52,51,26.0,2026-05-01
SKU-5179,Rack of Lamb (kg),Lamb,Clonmel,19,17,26.0,2026-06-01
SKU-5180,Rack of Lamb (kg),Lamb,Clonmel,16,16,26.0,2026-07-01
SKU-5181,Rack of Lamb (kg),Lamb,Naas,51,51,26.0,2026-05-01
SKU-5182,Rack of Lamb (kg),Lamb,Naas,31,29,26.0,2026-06-01
SKU-5183,Rack of Lamb (kg),Lamb,Naas,27,27,26.0,2026-07-01
SKU-5184,Rack of Lamb (kg),Lamb,Swords,31,31,26.0,2026-05-01
SKU-5185,Rack of Lamb (kg),Lamb,Swords,9,9,26.0,2026-06-01
SKU-5186,Rack of Lamb (kg),Lamb,Swords,49,48,26.0,2026-07-01
SKU-5187,Lamb Mince (kg),Lamb,Tralee,16,17,12.0,2026-05-01
SKU-5188,Lamb Mince (kg),Lamb,Tralee,20,19,12.0,2026-06-01
SKU-5189,Lamb Mince (kg),Lamb,Tralee,46,44,12.0,2026-07-01
SKU-5190,Lamb Mince (kg),Lamb,Cornelscourt,24,23,12.0,2026-05-01
SKU-5191,Lamb Mince (kg),Lamb,Cornelscourt,42,39,12.0,2026-06-01
SKU-5192,Lamb Mince (kg),Lamb,Cornelscourt,46,45,12.0,2026-07-01
SKU-5193,Lamb Mince (kg),Lamb,Rathmines,44,43,12.0,2026-05-01
SKU-5194,Lamb Mince (kg),Lamb,Rathmines,55,55,12.0,2026-06-01
SKU-5195,Lamb Mince (kg),Lamb,Rathmines,8,13,12.0,2026-07-01
SKU-5196,Lamb Mince (kg),Lamb,Swords,11,10,12.0,2026-05-01
SKU-5197,Lamb Mince (kg),Lamb,Swords,19,18,12.0,2026-06-01
SKU-5198,Lamb Mince (kg),Lamb,Swords,45,45,12.0,2026-07-01
SKU-5199,Lamb Mince (kg),Lamb,Naas,52,52,12.0,2026-05-01
SKU-5200,Lamb Mince (kg),Lamb,Naas,16,15,12.0,2026-06-01
SKU-5201,Lamb Mince (kg),Lamb,Naas,8,9,12.0,2026-07-01
SKU-5202,Pork Chops (kg),Pork,Cornelscourt,39,38,10.0,2026-05-01
SKU-5203,Pork Chops (kg),Pork,Cornelscourt,55,59,10.0,2026-06-01
SKU-5204,Pork Chops (kg),Pork,Cornelscourt,55,47,10.0,2026-07-01
SKU-5205,Pork Chops (kg),Pork,Rathmines,30,29,10.0,2026-05-01
SKU-5206,Pork Chops (kg),Pork,Rathmines,11,16,10.0,2026-06-01
SKU-5207,Pork Chops (kg),Pork,Rathmines,49,48,10.0,2026-07-01
SKU-5208,Pork Chops (kg),Pork,Naas,40,40,10.0,2026-05-01
SKU-5209,Pork Chops (kg),Pork,Naas,34,31,10.0,2026-06-01
SKU-5210,Pork Chops (kg),Pork,Naas,22,23,10.0,2026-07-01
SKU-5211,Pork Chops (kg),Pork,Blanchardstown,42,42,10.0,2026-05-01
SKU-5212,Pork Chops (kg),Pork,Blanchardstown,47,48,10.0,2026-06-01
SKU-5213,Pork Chops (kg),Pork,Blanchardstown,16,15,10.0,2026-07-01
SKU-5214,Pork Chops (kg),Pork,Clonmel,9,9,10.0,2026-05-01
SKU-5215,Pork Chops (kg),Pork,Clonmel,32,30,10.0,2026-06-01
SKU-5216,Pork Chops (kg),Pork,Clonmel,41,42,10.0,2026-07-01
SKU-5217,Pork Belly (kg),Pork,Naas,13,11,11.5,2026-05-01
SKU-5218,Pork Belly (kg),Pork,Naas,42,47,11.5,2026-06-01
SKU-5219,Pork Belly (kg),Pork,Naas,36,36,11.5,2026-07-01
SKU-5220,Pork Belly (kg),Pork,Swords,21,19,11.5,2026-05-01
SKU-5221,Pork Belly (kg),Pork,Swords,53,53,11.5,2026-06-01
SKU-5222,Pork Belly (kg),Pork,Swords,32,31,11.5,2026-07-01
SKU-5223,Pork Belly (kg),Pork,Limerick,51,51,11.5,2026-05-01
SKU-5224,Pork Belly (kg),Pork,Limerick,30,30,11.5,2026-06-01
SKU-5225,Pork Belly (kg),Pork,Limerick,46,44,11.5,2026-07-01
SKU-5226,Pork Belly (kg),Pork,Blanchardstown,20,20,11.5,2026-05-01
SKU-5227,Pork Belly (kg),Pork,Blanchardstown,54,52,11.5,2026-06-01
SKU-5228,Pork Belly (kg),Pork,Blanchardstown,24,24,11.5,2026-07-01
SKU-5229,Pork Belly (kg),Pork,Cornelscourt,10,9,11.5,2026-05-01
SKU-5230,Pork Belly (kg),Pork,Cornelscourt,30,26,11.5,2026-06-01
SKU-5231,Pork Belly (kg),Pork,Cornelscourt,34,33,11.5,2026-07-01
SKU-5232,Pork Sausages (kg),Pork,Rathmines,25,21,8.0,2026-05-01
SKU-5233,Pork Sausages (kg),Pork,Rathmines,29,28,8.0,2026-06-01
SKU-5234,Pork Sausages (kg),Pork,Rathmines,16,15,8.0,2026-07-01
SKU-5235,Pork Sausages (kg),Pork,Tralee,25,25,8.0,2026-05-01
SKU-5236,Pork Sausages (kg),Pork,Tralee,46,47,8.0,2026-06-01
SKU-5237,Pork Sausages (kg),Pork,Tralee,38,37,8.0,2026-07-01
SKU-5238,Pork Sausages (kg),Pork,Naas,15,15,8.0,2026-05-01
SKU-5239,Pork Sausages (kg),Pork,Naas,22,21,8.0,2026-06-01
SKU-5240,Pork Sausages (kg),Pork,Naas,13,13,8.0,2026-07-01
SKU-5241,Pork Sausages (kg),Pork,Blanchardstown,17,18,8.0,2026-05-01
SKU-5242,Pork Sausages (kg),Pork,Blanchardstown,37,43,8.0,2026-06-01
SKU-5243,Pork Sausages (kg),Pork,Blanchardstown,25,20,8.0,2026-07-01
SKU-5244,Pork Fillet (kg),Pork,Clonmel,36,35,14.0,2026-05-01
SKU-5245,Pork Fillet (kg),Pork,Clonmel,9,10,14.0,2026-06-01
SKU-5246,Pork Fillet (kg),Pork,Clonmel,47,43,14.0,2026-07-01
SKU-5247,Pork Fillet (kg),Pork,Rathmines,27,27,14.0,2026-05-01
SKU-5248,Pork Fillet (kg),Pork,Rathmines,15,15,14.0,2026-06-01
SKU-5249,Pork Fillet (kg),Pork,Rathmines,30,30,14.0,2026-07-01
SKU-5250,Pork Fillet (kg),Pork,Naas,20,22,14.0,2026-05-01
SKU-5251,Pork Fillet (kg),Pork,Naas,35,33,14.0,2026-06-01
SKU-5252,Pork Fillet (kg),Pork,Naas,9,9,14.0,2026-07-01
SKU-5253,Pork Fillet (kg),Pork,Tralee,34,34,14.0,2026-05-01
SKU-5254,Pork Fillet (kg),Pork,Tralee,50,46,14.0,2026-06-01
SKU-5255,Pork Fillet (kg),Pork,Tralee,29,28,14.0,2026-07-01
SKU-5256,Whole Chicken (ea),Poultry,Tralee,69,71,7.5,2026-05-01
SKU-5257,Whole Chicken (ea),Poultry,Tralee,36,37,7.5,2026-06-01
SKU-5258,Whole Chicken (ea),Poultry,Tralee,71,71,7.5,2026-07-01
SKU-5259,Whole Chicken (ea),Poultry,Cornelscourt,55,54,7.5,2026-05-01
SKU-5260,Whole Chicken (ea),Poultry,Cornelscourt,34,32,7.5,2026-06-01
SKU-5261,Whole Chicken (ea),Poultry,Cornelscourt,43,42,7.5,2026-07-01
SKU-5262,Whole Chicken (ea),Poultry,Swords,52,52,7.5,2026-05-01
SKU-5263,Whole Chicken (ea),Poultry,Swords,27,28,7.5,2026-06-01
SKU-5264,Whole Chicken (ea),Poultry,Swords,40,41,7.5,2026-07-01
SKU-5265,Whole Chicken (ea),Poultry,Rathmines,49,49,7.5,2026-05-01
SKU-5266,Whole Chicken (ea),Poultry,Rathmines,31,31,7.5,2026-06-01
SKU-5267,Whole Chicken (ea),Poultry,Rathmines,52,52,7.5,2026-07-01
SKU-5268,Whole Chicken (ea),Poultry,Blanchardstown,48,40,7.5,2026-05-01
SKU-5269,Whole Chicken (ea),Poultry,Blanchardstown,75,59,7.5,2026-06-01
SKU-5270,Whole Chicken (ea),Poultry,Blanchardstown,75,75,7.5,2026-07-01
SKU-5271,Whole Chicken (ea),Poultry,Clonmel,12,12,7.5,2026-05-01
SKU-5272,Whole Chicken (ea),Poultry,Clonmel,53,53,7.5,2026-06-01
SKU-5273,Whole Chicken (ea),Poultry,Clonmel,72,67,7.5,2026-07-01
SKU-5274,Chicken Fillets (kg),Poultry,Limerick,16,16,10.5,2026-05-01
SKU-5275,Chicken Fillets (kg),Poultry,Limerick,9,8,10.5,2026-06-01
SKU-5276,Chicken Fillets (kg),Poultry,Limerick,51,50,10.5,2026-07-01
SKU-5277,Chicken Fillets (kg),Poultry,Tralee,44,44,10.5,2026-05-01
SKU-5278,Chicken Fillets (kg),Poultry,Tralee,12,12,10.5,2026-06-01
SKU-5279,Chicken Fillets (kg),Poultry,Tralee,24,24,10.5,2026-07-01
SKU-5280,Chicken Fillets (kg),Poultry,Swords,18,18,10.5,2026-05-01
SKU-5281,Chicken Fillets (kg),Poultry,Swords,55,56,10.5,2026-06-01
SKU-5282,Chicken Fillets (kg),Poultry,Swords,53,52,10.5,2026-07-01
SKU-5283,Chicken Fillets (kg),Poultry,Clonmel,28,29,10.5,2026-05-01
SKU-5284,Chicken Fillets (kg),Poultry,Clonmel,16,17,10.5,2026-06-01
SKU-5285,Chicken Fillets (kg),Poultry,Clonmel,38,38,10.5,2026-07-01
SKU-5286,Chicken Wings (kg),Poultry,Rathmines,23,23,6.5,2026-05-01
SKU-5287,Chicken Wings (kg),Poultry,Rathmines,51,51,6.5,2026-06-01
SKU-5288,Chicken Wings (kg),Poultry,Rathmines,55,49,6.5,2026-07-01
SKU-5289,Chicken Wings (kg),Poultry,Naas,24,23,6.5,2026-05-01
SKU-5290,Chicken Wings (kg),Poultry,Naas,29,29,6.5,2026-06-01
SKU-5291,Chicken Wings (kg),Poultry,Naas,22,21,6.5,2026-07-01
SKU-5292,Chicken Wings (kg),Poultry,Cornelscourt,26,26,6.5,2026-05-01
SKU-5293,Chicken Wings (kg),Poultry,Cornelscourt,39,39,6.5,2026-06-01
SKU-5294,Chicken Wings (kg),Poultry,Cornelscourt,29,28,6.5,2026-07-01
SKU-5295,Chicken Wings (kg),Poultry,Swords,15,16,6.5,2026-05-01
SKU-5296,Chicken Wings (kg),Poultry,Swords,8,8,6.5,2026-06-01
SKU-5297,Chicken Wings (kg),Poultry,Swords,36,35,6.5,2026-07-01
SKU-5298,Chicken Wings (kg),Poultry,Limerick,27,27,6.5,2026-05-01
SKU-5299,Chicken Wings (kg),Poultry,Limerick,46,46,6.5,2026-06-01
SKU-5300,Chicken Wings (kg),Poultry,Limerick,47,47,6.5,2026-07-01
SKU-5301,Chicken Wings (kg),Poultry,Blanchardstown,20,20,6.5,2026-05-01
SKU-5302,Chicken Wings (kg),Poultry,Blanchardstown,54,36,6.5,2026-06-01
SKU-5303,Chicken Wings (kg),Poultry,Blanchardstown,18,18,6.5,2026-07-01
SKU-5304,Turkey Crown (kg),Poultry,Clonmel,18,18,16.0,2026-05-01
SKU-5305,Turkey Crown (kg),Poultry,Clonmel,38,38,16.0,2026-06-01
SKU-5306,Turkey Crown (kg),Poultry,Clonmel,29,29,16.0,2026-07-01
SKU-5307,Turkey Crown (kg),Poultry,Limerick,29,29,16.0,2026-05-01
SKU-5308,Turkey Crown (kg),Poultry,Limerick,20,16,16.0,2026-06-01
SKU-5309,Turkey Crown (kg),Poultry,Limerick,11,9,16.0,2026-07-01
SKU-5310,Turkey Crown (kg),Poultry,Tralee,43,42,16.0,2026-05-01
SKU-5311,Turkey Crown (kg),Poultry,Tralee,23,23,16.0,2026-06-01
SKU-5312,Turkey Crown (kg),Poultry,Tralee,50,50,16.0,2026-07-01
